CD4+ Tn	CD4+ blood-Tcm	CD4+ Temra	CD4+ tissue-Tcm	CD4+ Trm	CD4+ Th17	CD4+ activated T	CD4+ Tfh	CD4+ Treg
FOXJ3	0.194837204025565	0.150062641304128	0.0264528524031136	0.109297185167887	0.244723242496108	0.0482854364155797	0.153890956794894	0.0776936229932581	0.151825107364194
FOXN2	0.17185145836761	0.162642152016981	0.0270699777436063	0.108926690496697	0.262679179930762	0.0510251870044588	0.1650423667572	0.0887178357860473	0.1551727095492
FOXO1	0.0422245259096379	0.0459372558704217	0.0124170212033767	0.0343091925073452	0.0628859166569607	0.0122440922071382	0.0346656326472141	0.0193327636550965	0.0578997818074281
FOXO3	0.161426707046132	0.168761740184006	0.027219255562023	0.110667768202234	0.298755947301596	0.0603229938739883	0.132092900173892	0.0718180717887625	0.146699237820036
FOXO4	0.0390886027879875	0.028786438748142	0.0163714690280113	0.0238122488290066	0.0398854192606507	0.0430958154649609	0.0451633412104216	0.0439293111737584	0.107195818643683
FOXP1	0.203843500473462	0.16782391487937	0.0264079176013373	0.117862525266727	0.241423636704947	0.0448061614704701	0.152340552815401	0.0787744246794427	0.156334556215748
FOXP2	0.109816349741838	0.108317228505131	0.0239778088775541	0.073817995096251	0.170795876069495	0.0336725998677572	0.111959202106257	0.0543959969128501	0.110519882454571
FOXP4	0.147756624504577	0.157964945388029	0.0230177298222576	0.12186395197155	0.255031634625251	0.0367752457101955	0.120455261222994	0.0708933762224156	0.14237401470776
FOXQ1	0.0994909080796452	0.0951328658828509	0.0176829773048067	0.0654550573860131	0.160726776675195	0.0361872681041546	0.120694274324108	0.0509806023058379	0.0870714860823283
GABPA	0.180637831257874	0.177865370189319	0.034572994661787	0.11339206669429	0.256927579455343	0.0483547513785109	0.144337777903748	0.0758781140802027	0.151522632575149
GABPB1	0.174083926115318	0.167327534547694	0.0289579985767523	0.122196213982433	0.274544555447256	0.0559976387746077	0.134014749240792	0.0856249628178316	0.159130889265367
GATA2	0.128715982694753	0.132670495285461	0.0278998745822088	0.0840910923115042	0.195954562552263	0.0462919384639776	0.096015781249179	0.0730571681672494	0.146392130450387
GATA3	0.116552868378664	0.226360351247533	0.0316833421601779	0.0829097903289147	0.331458819291032	0.0438870889300179	0.100459800755526	0.0337152677874945	0.103260378002367
GATA6	0.146630550026433	0.127242664737049	0.0276778803031267	0.0561275075283835	0.131638115953255	0.0481760734052343	0.114434450807498	0.056834373034567	0.0860035884873964
GFI1	0.0159206807785401	0.0281088084179039	0.0182764542286245	0.0306427844191479	0.0747089561421155	0.0246341678366832	0.0296070852322043	0.0182214633270883	0.0358705710682884
GLIS1	0.121653833573444	0.131176272332692	0.0303622066695863	0.0853638952468583	0.244971694482042	0.0500624789515408	0.170042322461539	0.104957259718136	0.128376790226433
GMEB2	0.142816150721343	0.122496320760284	0.0241024310712794	0.0765753072339199	0.117504426653164	0.0414918903406265	0.11418886070682	0.0583361643609842	0.0900696278114431
GTF2A2	0.014915853539697	0.0176643627890609	0.00332790479170697	0.011520214400584	0.0159367077236018	0.00166627183781742	0.023458970964449	0.0103785505720738	0.00640748822027193
GTF2B	0.161309769712089	0.154931740669756	0.0284333949449982	0.105410757919537	0.289123841055533	0.0547076864669035	0.16110730838129	0.0795995614997526	0.157717237838387
GTF3A	0.124116232587243	0.221664018329934	0.0277364746745618	0.0672970530404976	0.157234251111485	0.0343645048387892	0.0687381163657257	0.0464195536357921	0.0954188676462697
HDAC2	0.193744410040767	0.176733072611609	0.0289358917078592	0.112408927292204	0.258407244812606	0.0507039490753944	0.143256221536109	0.0807494989342225	0.156492384294495
HES1	0.0330308607113725	0.0311533473014737	0.0107685116322906	0.0388290351279343	0.0608053323396528	0.0193975335305568	0.0377111823603995	0.0379285675375493	0.0461604333130515
