Fetal stromal 1	Stromal 1	Fetal stromal 2	Stromal 2	Stromal 3	Transitional stromal	FDC	mLTo	Inflammatory fibroblast	Reticular fibroblast	Cycling stromal	Myofibroblast 1	Myofibroblast 2	SMC 1	SMC 2	Cycling SMC	Immature pericyte	Mature pericyte	Mesoderm 1	Mesoderm 2	Mesothelium
CHURC1	0.0009865693343315	0.000723824615734947	0.00110275914078017	0.000803186315556648	0.00122499971950774	0.00136398159078444	0.00236040132487292	0.00213237991572701	0.00167516801308831	0.00153246340778479	0.000269731930917949	0.000852391558193055	0.000627225608543891	0.000539927207911073	0	0	0.0018081055202781	0.0181495749794511	0.000525964171677828	0.00128182492062767	0
CREB1	0.0650679319518701	0.106168955478035	0.0453894916048927	0.0566511219030341	0.0551725349081948	0.0262866650600924	0.00244541158372846	0.00280947726820924	0.0186325892051622	0.0133965341364279	0.0418333079223775	0.0817065236969353	0.0527059218939833	0.142289806171812	0.0511868873356824	0.02720268650532	0.0581855251375279	0.0329165754223347	0.0717510455636521	0.103795758800477	0.00677198999849826
CREB3	0.0963078125071615	0.206873677315517	0.0769022468052709	0.120710971701375	0.0944991157332778	0.0405298265987152	0.00175663854171793	0.00368936800794728	0.047448715140801	0.017188391664154	0.0927756804990664	0.0533747768151154	0.0356870850578327	0.0669037141223698	0.032770873695166	0.0123679463130527	0.0803374277335311	0.0170901342667692	0.101140216831734	0.168514089104936	0.0163536051394709
CREB3L1	0.103925886198875	0.189028334780238	0.0799806009467122	0.100405111835745	0.103618332468348	0.044664902475418	0.00141675940113306	0.00385748356555748	0.0346927409865433	0.0148990609729387	0.0988493116841679	0.057301315407617	0.0283139994818298	0.0587626876951446	0.0298129923001778	0.0108331748726722	0.0741906788251581	0.0135879012470288	0.104411464057364	0.205512910568005	0.0163652236220732
CREB3L2	0.103283869792329	0.113485884442319	0.0982191700563941	0.0760866250155171	0.0328564733938508	0.0551639710140877	0.00208380622318571	0.00263661727772602	0.0257556553881082	0.0100770857359987	0.0322071805002534	0.0520118222297395	0.0344161304803462	0.0348604823258832	0.0266311999795725	0.00457862878995041	0.0495781702651494	0.018288588104161	0.0358736296522417	0.0778677539824354	0.0118423696986981
CREB5	0.106529502227153	0.186770392234892	0.0782328899781298	0.0983602333133059	0.0966370174710919	0.0491704334990506	0.00139763087777578	0.00412114070959035	0.0319885654399846	0.0148562955697691	0.0951658991723872	0.0612862861480421	0.02860310839995	0.0746531773552693	0.0348696664409309	0.0137949379264038	0.0841579422818085	0.0181846763492596	0.100389582809513	0.190931226895136	0.0157214174428523
CREM	0.110985458044743	0.189126283210986	0.0908359170138618	0.120720738935642	0.0810541386067116	0.0401276835849702	0.00162976131464532	0.00426150821684279	0.0345045145977286	0.0158025651090931	0.0874727813377768	0.057725227679969	0.0278996637311634	0.0701717927713027	0.0305549047700615	0.01235063367337	0.100925387716793	0.0268907468110472	0.0971549921587691	0.165692321994071	0.0152127148536588
CRX	0.0860249064220276	0.130606312475859	0.0566795122225686	0.0753053803059563	0.0847545279461613	0.0199728220472319	0.00114629009134048	0.00271899882324267	0.0191290852413439	0.0122021460295976	0.0753053032229659	0.0438644740675205	0.0231743628999	0.0844541682776473	0.0350345010881669	0.0145876841405408	0.0550715578966078	0.0124076896724777	0.112868929261814	0.166914203746963	0.01472244387324
CTCF	0.115607576566333	0.152768919893284	0.081497371747294	0.0801668949143979	0.086516469479628	0.02756596329812	0.00153892076430018	0.00399156001282686	0.0181383891169454	0.0117138324333842	0.143711990982689	0.0589868352835441	0.0240568085042361	0.0666113311245606	0.0264557479436911	0.0183093425728091	0.0839134534146284	0.0148214781351843	0.127743832204525	0.200827806642088	0.0156135806680652
CTCFL	0.0417485108574024	0.0283237792544322	0.0194358652141112	0.0189311370885996	0.0339737659068722	0.00570787608747114	0.002586383225746	0.00453481768292763	0.00389105431794656	0.0085080513961534	0.0179444155425093	0.0163589922134498	0.00671168476648099	0.0202834985076591	0.00897381908134687	0.00153083332433801	0.0159041774209321	0.00323300114377301	0.0634995582514094	0.0593466649601364	0.00730852316915442
