CD8+ Tn	CD8+ Tcm	CD8+ Teff	CD8+ Tem	CD8+ Trm	CD8+ IEL	CD8+ Tc17	CD8+ MAIT	CD8+ activated T
HNF4A	0.112128485392308	0.0537212750504789	0.0709968069989684	0.149634238045807	0.202141349595435	0.176262143792028	0.0352769648733077	0.0456773909391865	0.105988384185036
HNF4G	0.0286250982384216	0.0256495548019313	0.123146758619264	0.0827762587038586	0.0529387343529345	0.0593680324476364	0.0143841319369395	0.0277707434427665	0.0380156132608511
HOXA10	0.0606889248301467	0.0417485721519621	0.0348613335921982	0.056565872741565	0.0748931358621936	0.0633698101055019	0.0240363117954706	0.0349862175415436	0.0638083655250974
HOXA7	0.0655535078965634	0.040937977473805	0.0338408315325956	0.0604376583591553	0.112066062745546	0.0583115922310079	0.0133736413148356	0.0324838781757864	0.0685024851397977
HOXA9	0.0493680922372749	0.0336895543300441	0.0468619387849838	0.0572293951966001	0.0486548797981621	0.0316166784070916	0.022748921155168	0.0298399861718233	0.0347548195019539
HOXB13	0.125706843326992	0.0677130899329296	0.0578100797272777	0.113999875980952	0.144935829820303	0.112011172023954	0.0354719200025604	0.0375990168639331	0.076983718546486
HOXB2	0.115365129301407	0.0560661844657911	0.0855786943521939	0.152410279882153	0.215935924783305	0.133329695060451	0.0343538571666406	0.0504536640038378	0.0638159577742919
HSF1	0.153695358292116	0.0840376906185353	0.0978771851893379	0.184006538083699	0.238369800020943	0.220801773552646	0.0507615761532629	0.0662803444473975	0.0979377747050663
HSF2	0.107471400854866	0.0341140449376302	0.0570443043578488	0.150694813187531	0.206913257876049	0.0755512573561558	0.0151446100527093	0.0250485372884218	0.0480056768344886
IKZF1	0.172465619370055	0.09097443340445	0.0901854292953255	0.141240718762466	0.211855100026031	0.186695453243802	0.0367531174346881	0.0590327723475639	0.0826017625763948
IRF1	0.148041234425576	0.0788150489572255	0.0948068643574486	0.196742693613553	0.264366218947457	0.208794138783107	0.0502100144159955	0.0658463326364591	0.0955919524782177
IRF2	0.144226516608794	0.0764100956085647	0.0979401391351001	0.19701610184105	0.244444205558574	0.231430368342552	0.0521631481845612	0.0640103670762492	0.094798408428709
