Non-classical monocyte	Classical monocyte	Inflammatory monocyte	APOE+ macrophage	LYVE1+ macrophage	AREG+ macrophage	Cycling macrophage	cDC1	cDC2	pDC	LAMP3+ DC	Mast	Megakaryocyte
CUX1	0.0957704792588214	0.399060559943834	0.0758961219622547	0.128132735232674	0.107884591705973	0.0387746690202434	0.0306655059337437	0.0310500734150718	0.133026758619746	0.0286665049950396	0.0245672762916064	0.0949923692897852	0.0110530291585581
DBP	0.0696121038638966	0.284084430407439	0.0775550028807395	0.194946779063004	0.116280230724225	0.0421713920134983	0.0369320988891142	0.0269104723655013	0.11573958990912	0.0271967890875027	0.0282724825389367	0.138481845117367	0.012174452086974
DDIT3	0.0636087986267447	0.325864724280438	0.0910289779276078	0.155933601995498	0.134290141469741	0.0485783891293108	0.0346164335935979	0.0284817639178684	0.139607149263091	0.0238633086380349	0.0246886045245666	0.131086594763813	0.00806456344211581
DLX2	0.0431910463173881	0.251993292476443	0.0517385057522058	0.0515093121280711	0.0877106379512266	0.0325853311311062	0.0165137510692677	0.0252125555495231	0.0935755841509202	0.0462209143548401	0.0194334456598138	0.0620605780941499	0.00911717450866045
DMRTA1	0.0291472861395049	0.187198022484031	0.0645346486103745	0.0532142783551268	0.0715982296487985	0.076143185534738	0.0215093966609488	0.0165837342034972	0.147216803592352	0.0211923658541684	0.0068265922674785	0.0617322383497276	0.00401771899093273
E2F1	0.0720358133063682	0.347795718219306	0.0816303149470263	0.163604277620435	0.100366828055676	0.0407939025101821	0.056537023544366	0.0344457864981891	0.132109975063431	0.027889283638922	0.02520921359448	0.121355837370113	0.0157074021394182
E2F2	0.0831164176838215	0.373103606935476	0.0724631550414926	0.137192654902016	0.0856693627148473	0.0293828190554866	0.0655024700464638	0.0310873220245609	0.107022368016923	0.0231063799104178	0.0231733514855055	0.115512759916548	0.0123918459036987
E2F4	0.0861241394305882	0.362807379657355	0.0904656299311885	0.162763338420698	0.105658955833128	0.0376783131525225	0.033828049610035	0.0348324943908799	0.143518829304492	0.0212593159883229	0.0245762671075889	0.0885570818124094	0.0113590229688875
E2F6	0.00811927684422376	0.0229915437507693	0.0132470267775829	0.0204311792491735	0.0180034723915095	0.0135606994476931	0.00464199890076333	0.00618364572962093	0.0148184613791612	0.00310663473694406	0.00546130128598199	0.045509739955463	0.0187022253862743
E2F7	0.0690147842480304	0.342282196668537	0.0709879847708441	0.14132194919083	0.113301205061909	0.0397578552735894	0.0572592345794555	0.0311913103529083	0.128445165922909	0.0262875730707721	0.0208597815907923	0.141272708529315	0.01045245329956
E2F8	0.0677614771492038	0.324078681328394	0.074376674792448	0.143526127096584	0.124494702583988	0.0439314854844325	0.0776373176081238	0.0350730451121355	0.139471783003359	0.0318091332447845	0.0249446162986204	0.127808962178083	0.0105575423373457
EBF1	0.0209571476451155	0.0938836188262093	0.0334348314756533	0.0248028716776169	0.0279846486015876	0.0165265985590617	0.00630691916223947	0.00853314850318365	0.024420808637926	0.00798106170739288	0.00849614381550345	0.098111456600193	0.00742402493886674
EGR1	0.0782682219048213	0.347631753470406	0.0854537678273843	0.159055592568369	0.11716169142545	0.0426341421609528	0.0356929109833094	0.0322152310011283	0.143487410264568	0.025106146034506	0.0245246065155363	0.121307093614162	0.00917034397461647
EGR2	0.0223091807901494	0.165321011944416	0.119245221636033	0.172626300673125	0.0784874127129874	0.0380816997109208	0.0260975964426499	0.0162705237966985	0.0882913839611482	0.00843194052681828	0.00942809882965556	0.131737346117057	0.00607180255516393
EGR3	0.0418418430136007	0.272043718361755	0.0955859487069532	0.179094809506686	0.0860307489754157	0.0369208506432847	0.0270401060324992	0.0224992431793678	0.127165954121669	0.0125901758393552	0.0126869771372824	0.161570828187737	0.00640257104260999
EHF	0.0747999748995686	0.329397914423652	0.0852990356156932	0.167549513091926	0.111810882330416	0.0437125450884974	0.037964834983012	0.0496105068435209	0.165368161564779	0.0263561078832246	0.0343146170483543	0.0922396584377275	0.0101112752612483
ELF1	0.0786863495299316	0.365645660366568	0.0822200381976917	0.142105407196709	0.119014036273715	0.0450502763480327	0.0323485181128176	0.029963448051876	0.135305764411036	0.0268338324127809	0.0235749577237491	0.121014263597307	0.0132085168108576
