Adult arterial capillary	Adult venous EC (SELE+)	Adult venous EC (C7+)	Adult arterial EC	Cycling EC	Fetal arterial EC	Fetal venous capillary	LEC
GLIS2	0.408266337783767	0.10267025341304	0.0457567652180484	0.0798995847829961	0.047453123963202	0.133604854803497	0.153780855167558	0.0555179789630318
GTF2A1	0.122171844154862	0.0766478887934957	0.0641165804518121	0.0342377246106028	0.0116748088323905	0.0804970155314138	0.0550685465193131	0.0956287411260115
GTF2A2	0.0125820956980619	0.0372614986094253	0.0135707995774331	0.0357919986124406	-8.88178419700125e-16	-8.88178419700125e-16	0.00883165572265476	0.00159198889569379
GTF2B	0.283525095779866	0.217705057752597	0.0681331129188607	0.0505916442523863	0.0597464261608509	0.121677475927183	0.226239757679388	0.0888770100635659
GTF3C2	0.168014182887526	0.098325992482201	0.0729186172486064	0.0545427111590382	0.0447624626089458	0.114402111899177	0.199445645782763	0.109734527715663
HCLS1	0.351757201624017	0.171763909671811	0.0455374311857339	0.0262756437605539	0.0549510341730479	0.101968056085814	0.197269544958173	0.0117207551387204
HDAC2	0.295649959391892	0.200918036893415	0.0718516777443222	0.0526062039277083	0.072270773825291	0.119880199533445	0.227647368561237	0.122537265805076
HES1	0.309653712412792	0.150436580399359	0.0424732607867689	0.0336224535097959	0.0484176044470619	0.165148311065562	0.189659724497289	0.0704980914544635
HES5	0.139396973139368	0.0390817584280402	0.0166356016744411	0.0532071127117514	0.110879140149974	0.259380261984715	0.228158101490787	0.108171731111248
HIVEP2	0.235359166455676	0.173279163696026	0.137418500759888	0.113225044269943	0.0237941020039468	0.0746287894336453	0.154459691710446	0.137852902741814
HLF	0.254495950175892	0.219144210989898	0.113838639324741	0.0382953874482885	0.0313726751270929	0.0599565418802703	0.144479248563278	0.098891236344483
HMGA1	0.297890412819699	0.208899609504422	0.070762787523203	0.0516865699768285	0.0698143005407387	0.117526193092299	0.22865671252726	0.113339983304923
HMGA2	0.288413109442386	0.186725563812915	0.0713778773671521	0.0503447096498119	0.067851820170351	0.139362316137897	0.239982319301498	0.11376549745119
HMX2	0.193079711376144	0.0953497668121294	0.0666934789786489	0.050780084267563	0.020687117657363	0.0534663454369888	0.116436661447979	0.0724226896030645
HNF4A	0.156589664151739	0.0771359064065331	0.105513150153268	0.0970727520159618	0.0119815008014744	0.0608270210768679	0.0653949865745151	0.184423545199943
HOXA10	0.0961095535705612	0.0740761854268982	0.0385675555628752	0.0512481671893708	0.0228906522677734	0.0526843351205437	0.0696358087665131	0.031728408205782
HOXA2	0.0668531194329546	0.0260141136980717	0.0251649293115026	0.0195321565544346	0.00831539550315041	0.0347259301854592	0.0423825129612653	0.0269990659299221
HOXA3	0.195041661010293	0.137821698079375	0.106168993503015	0.0851133302349869	0.030572417125628	0.0923311865330387	0.200870116468768	0.125326104936231
HOXA4	0.210542961080754	0.154563468656709	0.0660024704467659	0.0482010490594498	0.0788475393993187	0.125829579475112	0.304883287023017	0.108657463493721
HOXA5	0.295410107620262	0.19278982113695	0.0852842748770919	0.0691626527255764	0.054609783553906	0.117666248551281	0.219542851886619	0.110345428641329
HOXA7	0.0730816251498684	0.0750293400994693	0.0377704210834025	0.0349475286952176	0.00980591336316394	0.0136867608513771	0.0322295121407457	0.0659947279139168
HOXA9	0.177578116436846	0.153505633026137	0.0641779383228743	0.0443349719407746	0.017453539956661	0.0455907424113385	0.060663986381791	0.0587279909874925
HOXB5	0.319449725325475	0.179971006966689	0.0700948193197162	0.0554571067621606	0.0593919981695811	0.133781050288349	0.230913282037079	0.0977952393312702
HOXC10	0.137863307628078	0.196199001504796	0.135935988911694	0.0300394504450959	0.0155054716102615	0.0360492759356614	0.101377907311767	0.078430270703954
HOXC9	0.271252617859174	0.232815785834395	0.0619287676819159	0.019129378906443	0.0209420775501482	0.0165369640086286	0.0984655359293662	0.0145342757172582
HOXD1	0.231012511095422	0.189823838982052	0.0818054198269653	0.074542120285208	0.0221231420853714	0.119343196114348	0.130046289743007	0.0893108026794761
HOXD10	0.160629455731313	0.103050134282113	0.0956566809584098	0.0519214148440718	0.0337609571639568	0.0683283317723113	0.140460988102486	0.335721537964105
HOXD11	0.262365775721732	0.143885683681885	0.0616777406806123	0.0588252285769295	0.0515839040108103	0.131128969245584	0.224954570640541	0.105999962677161
HOXD3	0.032238759880227	0.0323373775346295	0.0275570862026049	0.0273561742184549	0.0085035645028495	0.014057766785167	0.0280359505628062	0.127617602320564
HOXD8	0.233616752788865	0.0821485223034031	0.0700463606845162	0.0844571540223295	0.0452215664605516	0.090396088615874	0.16306931941621	0.202144876727229
HOXD9	0.191123571946317	0.104083288795809	0.0927576105715576	0.0816289447018173	0.0285003846022072	0.0708359305305832	0.113744406752136	0.321814134191419
HSF1	0.288811262724049	0.152280900916459	0.0876845613323152	0.0869609098728824	0.0343844585649837	0.107632411487885	0.13023481528353	0.166953416678519
HSF2	0.00982292025953402	0.013411808555024	0.0159190162670989	0.0424536344345868	0.00577538914928799	0.00783094871453116	0.0325016523260399	0.146132277731999
HSF4	0.105624774574292	0.187722643110176	0.123705754501818	0.0462105123425778	0.0376843218774644	0.0279564531682972	0.157956431569081	0.174854912016168
IKZF1	0.133667782687048	0.0580225830148696	0.0473286802085348	0.0734116170171057	0.00637703317829585	0.0277568498194392	0.0357099400993649	0.0496882630978207
IKZF2	0.0382548412943027	0.0274774355001662	0.0353410746075938	0.0230311214855755	0.00698431732297689	0.0120560183311238	0.0426315014548372	0.0332179517990012
IRF1	0.313154381031754	0.217966847477506	0.0769279603887153	0.0578868172851649	0.0573169065559951	0.112968293779165	0.210126603704031	0.109831152397117
IRF2	0.2127452071291	0.194196782158136	0.0744798489171989	0.0468408192201286	0.0509119353709733	0.104954489460491	0.236242986787369	0.114151507579789
IRF3	0.302068194235263	0.22274476462981	0.0825560619374315	0.0512070294980198	0.0445467121931371	0.0873132167710754	0.183139264945981	0.119505793124812
IRF6	0.328350757405677	0.181313621845257	0.104107806138929	0.126391542575408	0.0391886132609263	0.110087464134678	0.168757399055595	0.0808596004922215
IRF7	0.351331466362216	0.23240915916211	0.0751257678926647	0.0572486225538232	0.0455005446952201	0.0963990512051016	0.179739739745952	0.0953136849339008
IRF8	0.281132521065984	0.236763976596663	0.0865964524685047	0.0586680792319717	0.0494033117651986	0.0985132185493854	0.207577445356433	0.123435871798771
IRF9	0.347587676215975	0.236722869289273	0.0769438006929172	0.0574787354513815	0.0476619051763376	0.0955204939602294	0.178932804575072	0.0985634752672363
JDP2	0.298134772544849	0.198313283863635	0.0886084553180212	0.0573621259418308	0.055854490023481	0.108457151522875	0.224770603779114	0.104393331093177
JUN	0.311488960757989	0.20442633119655	0.0741029070978776	0.0595046147220272	0.0566972305402185	0.122079584769459	0.217255442552448	0.10294129523877
JUNB	0.315439785143993	0.214250151859779	0.0769093406042868	0.0601152604473481	0.0560306254077332	0.115268689307898	0.208415569818257	0.108554451343401
JUND	0.302677543537063	0.19949665900499	0.0775223563982023	0.0613613713454599	0.0596931985765548	0.126937788084389	0.221340581316339	0.113204282517773
KDM5A	0.288190991290125	0.17316734774479	0.0919081672107031	0.0667699900236305	0.0530796657572932	0.114352418635792	0.232315300063723	0.128264811700059
KLF10	0.279086487409981	0.21348547978543	0.0600739223905044	0.0514751800668189	0.0508000510345274	0.114756248345149	0.211167413691906	0.0818587671765744
KLF12	0.0228479090386803	0.018982904421694	0.0137601267859884	0.0295429210351464	0.00469860644650588	0.0319916835004186	0.0241152358558662	0.0257228694024909
KLF13	0.330447194861622	0.178184760476742	0.0887829634348746	0.0687102893869066	0.0453181766232714	0.118724914117427	0.201010490781687	0.10571616207004
KLF16	0.28676368180702	0.168522728078732	0.083208019996168	0.0677143497764787	0.0489927950316221	0.127925338766549	0.232579893127051	0.0982108021804683
KLF3	0.310198439340738	0.162053306882391	0.0908840825796904	0.0771482174174061	0.0496950165027844	0.137895742167101	0.20736184889468	0.123964558483476
KLF4	0.318504700724656	0.209822624171305	0.0765239853125885	0.063499240057113	0.0532480465989031	0.117585527936424	0.204724457919531	0.109606793777633
KLF5	0.0366988193921042	0.00254737413034212	0.0193837263967214	0.0423713375986704	0.00425302816803064	0.107901976405311	0.0110366036590267	0.00662580781608935
KLF7	0.257796736653323	0.167189879555735	0.130698821406026	0.0948383223392412	0.0285359241511024	0.0654940018112287	0.151635012129157	0.0791310772533477
KLF8	0.288372664951441	0.22706815299994	0.091131350003109	0.0680082557740835	0.0497737485677144	0.0999810973191356	0.211747289644216	0.0987786547249505
KMT2A	0.233608444061441	0.135713374289843	0.0960808570062658	0.0821432007349573	0.0485977999850279	0.111690237903055	0.214673407122563	0.122854304888448
LCORL	0.125024676884152	0.0506058829177122	0.0620375477984308	0.0743463190987649	0.0200171093871252	0.0626047936685721	0.107459949398902	0.0538824792728788
LEF1	0.2461225160772	0.24986213542118	0.0855005762147401	0.00982147561827607	0.060116619866187	0.021057751442924	0.246419788101408	0.0451939515866773
LHX6	0.0208856087866985	0.165801539681137	0.145681412668673	0.00370715594518534	0.0504250599546466	0.00863024922639277	0.184070039930214	0.173581453316107
MAFA	0.159552754782871	0.0693454698300473	0.0744899848235758	0.0707853944610908	0.0151173826772635	0.0428829820789858	0.0664287797364828	0.0888344275557771
MAFF	0.297451526635814	0.206075198219668	0.0750520588289727	0.0590801541362368	0.0590251285307241	0.125026133792289	0.221317540261959	0.109736953983954
MAFG	0.314496576582414	0.21020976871532	0.0751575432629962	0.0640685439257561	0.0470838962922685	0.107677527328086	0.180115919733238	0.100933269293743
MAX	0.345913438883171	0.21068799068793	0.0875349248000338	0.0692611995429816	0.0415562484918957	0.0924686708706338	0.175660362164092	0.124053944262084
MAZ	0.298750215265382	0.175642952038269	0.076153061402625	0.059001030349084	0.0703731443188261	0.132290667673725	0.232108544718519	0.110519734649119
MEF2C	0.290140852552013	0.153481369932043	0.0750153120207552	0.0423291223590407	0.065098487318217	0.136052601765752	0.255848396065086	0.0618339683470425
MEF2D	0.320950623174793	0.178803465255791	0.0838091069722724	0.0857901602058668	0.0412797889034019	0.120804636586527	0.201869059475235	0.0899165125293396
MEIS1	0.175603274164994	0.0894364444881431	0.0858077901701015	0.0746011197331641	0.0299586131006478	0.0770036486664729	0.130989401298834	0.0703429381840741
MEIS2	0.15201571387062	0.137566166205772	0.0833509735261891	0.0259559143582577	0.0808287065663127	0.085229510913357	0.293179803338199	0.0975469723678725
MGA	0.244676375610165	0.130992710139316	0.105247645220632	0.0703322485270069	0.034773148356209	0.112283284966877	0.178330329646713	0.112258385887506
MLX	0.17954558198394	0.107200075050519	0.0568087343970566	0.0441348806244448	0.109011937840498	0.0641549775863816	0.125723585486631	0.0875838370783287
MSC	0.250872297497783	0.283936123952433	0.0829635136544014	0.0516754008092687	0.0303480914876492	0.0391544271462899	0.132331261995879	0.138993865393022
MSX1	0.28588630473736	0.128203365561377	0.0411374007710676	0.0625215603435629	0.0605363809568102	0.208913220926947	0.216896914908887	0.0763959080813732
MSX2	0.117762977582105	0.0737387905383108	0.0331436917677776	0.0316340175578897	0.0236558012759394	0.0460695722814628	0.0740393191707386	0.141658651472148
MXD1	0.144482842531762	0.0949684819745829	0.0483302255557115	0.0452492259990885	0.0153000383559405	0.029718348821556	0.0466408266085256	0.0656269446221222
MXD4	0.24538141994974	0.0890199873786784	0.0407718761466844	0.0387217591169986	0.0356531790286715	0.145863911289277	0.143095349014236	0.0532009751475052
MXI1	0.309617972430996	0.13903223177648	0.0799518149874733	0.080130972561462	0.0410066145023293	0.11796488149468	0.192864006542733	0.152376828926272
