IgA plasma	IgG plasma	IgA+IgG+ plasma	IgA-IgG- plasma	Pro-B	Naive B	Memory B	GC B	Cycling GC B	Cycling plasma
BRF1	0.264166689191895	0.0752149419020983	0.024619313115292	0.0318928736634624	0.00638206140337638	0.301883952881379	0.253264907200069	0.0775880504235889	0.0560559033253119	0.00595501798549958
BRF2	0.317513442596299	0.0893301194596332	0.0326485512035684	0.0368665730960567	0.00792588934026695	0.242620007184161	0.224146053115959	0.0472760396312762	0.0306830132872388	0.00666440054533757
CBFB	0.135663786563923	0.0453424979184557	0.0276189570211436	0.0195601175846372	0.00453610441662478	0.225051934854307	0.183592269649891	0.0475523651733644	0.0310256712624933	0.00134214077669781
CDX1	0.276875101524774	0.08824237536792	0.028118683491501	0.0407895302588359	0.0037209892975727	0.127119314123801	0.112756056338022	0.0220145164737159	0.00920278649133321	0.00374330010780177
CDX2	0.214951432634108	0.0722590560790326	0.0230301162017286	0.027730641836755	0.007035260529064	0.201088009337862	0.168852675407839	0.024823185134721	0.0149750807891742	0.00511993016980938
CEBPB	0.383967970346157	0.107924875355132	0.0338623120015163	0.0448177270364598	0.00437113544256018	0.228799919355043	0.202540872442068	0.0517162262887739	0.038225533962287	0.0104175223165378
CEBPD	0.0636455803763261	0.0260461853111207	0.0120481524953094	0.0151850018306064	0.00544235271318882	0.0724260920199369	0.0675077068760207	0.020988981260111	0.00640779978749895	0.00081025039384619
CEBPG	0.334919602722473	0.0935174517899652	0.0314101199535296	0.0400682922691308	0.00471232784562936	0.261967881093564	0.219753854117432	0.0615316654137436	0.0426865248626132	0.0079273345276073
CEBPZ	0.221525677962969	0.063058882869681	0.0199047837007351	0.0272945323760955	0.00673684372490269	0.333285179746865	0.27328041864933	0.0786527213591408	0.0667366345096254	0.00837978378894111
CHD2	0.257970250033552	0.0764711664374799	0.0225697943486449	0.0317560287965761	0.00570613113912044	0.322084068188308	0.262797168091778	0.0666680307106833	0.0447522717048784	0.00620649904254456
CLOCK	0.20747796184448	0.0794892579435648	0.0227295248319281	0.0309858910787862	0.00690221292821147	0.290162432955135	0.253097474042423	0.0573487704590782	0.0276695234296308	0.0035847394264944
CNOT3	0.0618981844136831	0.0294270787314247	0.00882954730156571	0.0145954907895107	0.00435915770926709	0.0551025709010903	0.0522942912473234	0.0244850770108526	0.0120331020751189	0.0022288862079527
CREB1	0.204162647314337	0.0614388057901587	0.0185095920692639	0.0257515344916908	0.00628052579060934	0.340067537088646	0.276495847038873	0.0881241229060097	0.0580599670502561	0.00373132384034514
CREB3	0.393453233066272	0.1152827599465	0.0344874958566915	0.0463495497945647	0.00412796144106142	0.22362730267134	0.185561983455434	0.0550512653872429	0.0409758831229751	0.0138153384488818
CREB3L1	0.0663376177007373	0.0268831740325921	0.0094885917442461	0.0148618154130933	0.00508823533107239	0.171712882104348	0.154760558097402	0.0550546743494638	0.0213149944156454	0.00164565288541074
CREB3L2	0.372958537608482	0.11006305102731	0.0323083361130952	0.0449025863167927	0.00467538883230978	0.239386976072122	0.204539997255849	0.054885381303893	0.0373138401075307	0.0107022761282883
CREB5	0.21536139569575	0.0623797499959333	0.0199539023104887	0.0276144328463749	0.00594546093854897	0.31655965128299	0.284255490754115	0.0735286796359439	0.0463905580940832	0.00390440896480959
CREM	0.237414963918252	0.06892740616596	0.0211686108909694	0.0284946837977689	0.0054628794916346	0.338269185393385	0.266150224563243	0.0773658153939717	0.0537697001666577	0.00662870343505373
CTCF	0.22476849896204	0.0673948706734252	0.0214998819792441	0.0287906058575422	0.00785729246493927	0.326368767183033	0.26896252014794	0.0812751143262223	0.0703394065926286	0.00737893996122696
CTCFL	0.175761079520697	0.0576556983648178	0.0259921405745029	0.0308614436315171	0.00633305426949005	0.131470724802977	0.133344360192586	0.0411234105760662	0.0257542574054102	0.00328326657127742
