Goblet	Tuft	Paneth	M-like cell	Enteroendocrine	BEST4+ epithelial	DUOX2+ epithelial	Pediatric colonocyte	Adult colonocyte	Enterocyte	TA	Cycling TA	Fetal progenitor	Fetal cycling TA	Fetal colonocyte	Fetal enterocyte
ERF	0.0906519894156733	0.179956148538338	0.0338408124269796	0.00264257251067979	0.0163965985250739	0.0377624543282409	0.0184676440765631	0.118913146967611	0.0693587481299058	0.0353095038243829	0.222462259236687	0.020263840255182	0.0233863378192692	0.00534065451040122	0.00905649158714661	0.0368145859948464
ERG	0.123681725164113	0.0392284661212985	0.0111086151415269	0.00582735145105673	0.034822137057261	0.0384333998134045	0.0415531902164055	0.08279319610873	0.116173702031594	0.0432063140911342	0.240085666922745	0.0800615060690979	0.0921071501706789	0.0376777480840724	0.048835369565013	0.123514034957107
ESRRA	0.134729495418453	0.0300242320400309	0.00805416309833096	0.00323952319440168	0.0228832418003113	0.0478729318518645	0.0519152632081699	0.0778541545096378	0.143508195218266	0.0676117553331406	0.309947473244185	0.106839156381004	0.0997581097185514	0.0411520172919597	0.0541588569696112	0.0945194681770078
ETS1	0.138825313889744	0.0581897784044866	0.012874678180143	0.0051719778387509	0.0253179982433318	0.0557440575460593	0.0800099714977753	0.106074502621442	0.175380027301406	0.0606204963194621	0.250250892682038	0.0562400981771273	0.0642815927377315	0.0205609682390214	0.0440793806346749	0.108393386925855
ETV2	0.136354680916337	0.0272204083526266	0.00746134719972369	0.00355976645659239	0.025802523141335	0.0459790288173459	0.0503295399633426	0.054838235462651	0.132970226142609	0.0637276124611892	0.307974518092228	0.1222817146	0.103590441572	0.0468496179271876	0.0525630961921743	0.0857774028132924
ETV3	0.0780207029970914	0.177820550199871	0.0114636976677809	0.00140246167474722	0.0180172567381873	0.0231350360741386	0.0223388522579338	0.123069775868074	0.0670624875470777	0.0360789679800856	0.0867210897553899	0.010635411020726	0.0307899916451305	0.0106877159839723	0.0107517400986172	0.0325549528771693
ETV4	0.0386924340447379	0.0359260606919194	0.0156463658510512	0.00460476066598636	0.0169607946093242	0.00322202902527757	0.00289168918232841	0.0357166295352542	0.014773461146215	0.0951643021640315	0.0223791294033122	0.00734911642457503	0.0727659866370945	0.0278265070695054	0.0710768562796467	0.0128132690393205
ETV5	0.0212051222568787	0.251754943617312	0.00418592841117116	0.00283341014163141	0.00591962456804129	0.00821148535023009	0.00623538144581925	0.0277124330788243	0.0193991505923933	0.00614644519435337	0.0563618127999254	0.00589664474371254	0.00456129424926055	0.000962697106476229	0.000676710143088344	0.0021406010451902
ETV6	0.143807400802925	0.0503617894790307	0.0106543123607303	0.00418130807008887	0.0191906650841596	0.0566649385135378	0.0681785473876537	0.104906285621149	0.178649342180918	0.0669621292663756	0.289082028239716	0.0836538114663334	0.0567651364363672	0.0181154471867984	0.0377396179980293	0.0833949048362501
ETV7	0.138944635097271	0.0364024512205117	0.0101633054829846	0.00468820663109448	0.0204425627845387	0.0546873876330074	0.0670253394794466	0.0819101906279092	0.147643210560729	0.0806583538017913	0.295286260870913	0.0974366421776599	0.0808362067136221	0.0310732482431116	0.0449093725248086	0.102685941627011
EVX2	0.158318411298805	0.0179274247334504	0.00920644732780707	0.0024051394467085	0.0132110084263282	0.0319760105614242	0.0621178933723128	0.0787211771716529	0.0783196394949883	0.0342888552199644	0.37109162204939	0.156668339714914	0.0147990728303498	0.00673906394904789	0.0246537446918458	0.025298405059238
FGF19	0.0746060400536193	0.0465843096277136	0.00846649040760106	0.00302917088696519	0.0236110429422423	0.0398397337538069	0.0411046686348178	0.118473651270447	0.0975220230292625	0.0989770825991887	0.180789563594785	0.0209441144746685	0.0914919286896714	0.0312069020025131	0.0473588888458647	0.142837416208714
FLI1	0.0666953628489325	0.383313365330931	0.0129534145490516	0.00214415852423988	0.0248260900621828	0.0202353045341287	0.0105476893990114	0.0654130000867106	0.0255843994176905	0.0149631368883726	0.115179913115904	0.0096909355997169	0.0392845033280823	0.00895920833787478	0.0140766769966234	0.0520380285699661
FOS	0.132573319440315	0.0335141438794936	0.00899399873553719	0.00306231118837386	0.0304705349267379	0.0469666747679871	0.0443703911451404	0.0864905607222919	0.111606530944695	0.056696622387744	0.301103190725996	0.0954459134537897	0.118877156620014	0.051287652611854	0.075030744739784	0.108470220065708
FOSB	0.135538400783228	0.0323575300760136	0.00929399491266947	0.00310665346183892	0.0311379649685853	0.0468069988085815	0.0446102093908493	0.0917262118329809	0.10862695478231	0.0558061882347884	0.297290938726481	0.098080999964328	0.117296080433714	0.0517505870384871	0.0784687278724009	0.102229612217803
FOSL1	0.13449394300067	0.0328137636799571	0.00902821527794817	0.00343117504597679	0.0269019269163863	0.05026413102459	0.0513100272840294	0.100139823245242	0.128621120265229	0.0574926154937347	0.287764563929034	0.0958952086624307	0.107993029233763	0.0488658170997315	0.0732569973150001	0.0971804400450574
FOSL2	0.128510959409765	0.0342979355447026	0.00898271233545789	0.00318748185193485	0.025647708211567	0.0522530098030961	0.0525534981499792	0.102016341969846	0.149406123140961	0.0747196917539503	0.271229728803342	0.0684732383997042	0.0928570672320724	0.0354774598050063	0.0742337155178525	0.119864760081984
FOXA1	0.0878361857167661	0.0506530020726847	0.00826236135996539	0.00146585251986864	0.0289121853936116	0.0366047025939503	0.0154978414327601	0.0756586440871518	0.0484090286478152	0.0174843679434167	0.176956226977272	0.0171502699508308	0.0697045711569394	0.0230086625830161	0.0199203593965482	0.028832947507991
FOXA2	0.194566498457036	0.0337577287579396	0.0113751434732875	0.00254100323294748	0.0372233188194708	0.0426822186569902	0.0435747246966839	0.0745062433751325	0.0780277431523474	0.0472934402723326	0.293679502500363	0.110015156719231	0.111806348650977	0.0488165656803398	0.0732425145835713	0.074119208241581
FOXA3	0.270748682560032	0.02682802967815	0.0127009633744344	0.00246036016809159	0.0281472866121951	0.0426367320713182	0.0541948178383086	0.0685596480384141	0.0797934043326465	0.0339478154797264	0.24974299510151	0.104819433834896	0.0952701316102518	0.0396187353011296	0.06528137111752	0.0580910995604292
FOXD1	0.059900363293951	0.0186447904832123	0.0232174267131984	0.00228683374489402	0.028204400980564	0.122871776364645	0.044959632935658	0.0200437453401819	0.333432514520048	0.105785837429556	0.0713422924418108	0.0163514236800248	0.0151063922063074	0.00533404239547075	0.0236106842635556	0.0695014820601928
FOXD2	0.125251984137114	0.0232619268983471	0.00866061135480656	0.00347831597685655	0.0326001950706657	0.0478381232317179	0.0448486842504794	0.03821934990204	0.118228962482921	0.0571817700523544	0.241604395301806	0.0965118532958449	0.128060914475804	0.0543300023350325	0.0931815626178466	0.13686375414164
FOXF1	0.219646531839976	0.0727111768834744	0.014980082195701	0.0014738841208094	0.0315599172323299	0.0281112774754655	0.0176606975360371	0.133367778735043	0.047074229905459	0.0295020970201088	0.205369828794114	0.0379973155589964	0.0810625986292645	0.0201890157316615	0.0310254598946151	0.0607577734488172
